Ticker,MthCalDt,MthPrc
BWXT,20211130,47.7
BWXT,20211231,47.88
BWXT,20220131,44.51
BWXT,20220228,53.42
BWXT,20220331,53.86
INDB,20120131,27.74
INDB,20120229,27.49
INDB,20120330,28.73
INDB,20120430,28.07
INDB,20120531,27.03
INDB,20120629,29.21
INDB,20120731,29.71
INDB,20120831,29.16
INDB,20120928,30.09
INDB,20121031,29.51
INDB,20121130,28.7
INDB,20121231,28.95
INDB,20130131,30.99
INDB,20130228,31.69
INDB,20130328,32.59
INDB,20130430,31.04
INDB,20130531,32.95
INDB,20130628,34.5
INDB,20130731,37.24
INDB,20130830,35.51
INDB,20130930,35.7
INDB,20131031,35.88
INDB,20131129,38.17
INDB,20131231,39.12
INDB,20140131,36.16
INDB,20140228,36.79
INDB,20140331,39.37
INDB,20140430,37.12
INDB,20140530,36.2
INDB,20140630,38.38
INDB,20140731,36.51
INDB,20140829,36.81
INDB,20140930,35.72
INDB,20141031,40.8
INDB,20141128,39.63
INDB,20141231,42.81
INDB,20150130,37.83
INDB,20150227,41.82
INDB,20150331,43.87
INDB,20150430,41.72
INDB,20150529,45.11
INDB,20150630,46.89
INDB,20150731,48.36
INDB,20150831,45.29
INDB,20150930,46.1
INDB,20151030,46.74
INDB,20151130,51.74
INDB,20151231,46.52
INDB,20160129,45.71
INDB,20160229,43.2
INDB,20160331,45.96
INDB,20160429,47.03
INDB,20160531,49.29
INDB,20160630,45.7
INDB,20160729,50.21
INDB,20160831,52.98
INDB,20160930,54.09
INDB,20161031,55.15
INDB,20161130,65.1
INDB,20161230,70.45
INDB,20170131,62.35
INDB,20170228,65
INDB,20170331,65
INDB,20170428,63.3
INDB,20170531,60.45
INDB,20170630,66.65
INDB,20170731,71.35
INDB,20170831,69.3
INDB,20170929,74.65
INDB,20171031,72.1
INDB,20171130,72.7
INDB,20171229,69.85
INDB,20180131,71.35
INDB,20180228,69.4
INDB,20180329,71.55
INDB,20180430,72.3
INDB,20180531,78.35
INDB,20180629,78.4
INDB,20180731,88.4
INDB,20180831,91.1
INDB,20180928,82.6
INDB,20181031,78.45
INDB,20181130,80.37
INDB,20181231,70.31
INDB,20190131,79.78
INDB,20190228,85.13
INDB,20190329,81.01
INDB,20190430,80.23
INDB,20190531,69.35
INDB,20190628,76.15
INDB,20190731,77.76
INDB,20190830,67.61
INDB,20190930,74.65
INDB,20191031,82.08
INDB,20191129,84.2
INDB,20191231,83.25
INDB,20200131,72.2
INDB,20200228,67.53
INDB,20200331,64.37
INDB,20200430,72.89
INDB,20200529,69.47
INDB,20200630,67.09
INDB,20200731,64.52
INDB,20200831,62.85
INDB,20200930,52.38
INDB,20201030,57.29
INDB,20201130,67.64
INDB,20201231,73.04
INDB,20210129,75.08
INDB,20210226,85.51
INDB,20210331,84.19
INDB,20210430,81.9
INDB,20210528,81.61
INDB,20210630,75.5
INDB,20210730,70.68
INDB,20210831,76.7
INDB,20210930,76.15
INDB,20211029,84.5
INDB,20211130,79.06
INDB,20211231,81.53
